严世威(00:00:30): Hello. 听到。

JimmyLiao(00:00:35): 领导你吃过饭没飞书你能看到我消息吧？
严世威(00:03:54): 我还不是很清楚它具体运营是件什么样的事情。

JimmyLiao(00:04:00): 你可以看，现在我们是没有一个后台能够看到这些状态的。

严世威(00:04:04): 好，上面的这种状态。

JimmyLiao(00:04:06): 这些不是对现在是没有的，这什么支付什么订单已生成什么这些支付成功，这些什么这些东西我们现在都没有，然后客户是不是没取走客人没取走这些状态我们现在都是没有的，现在我们是什么？我们现在全部都是用 API 的形式给他们的。对他们来说，他们 hold 不住他们，你说我给他 API 没有意义？

严世威(00:04:32): 我们是给什么客户做的，刚刚说对，

JimmyLiao(00:04:37): 人形机器人公司比如说。

严世威(00:04:39): 给公司做的，这个公司。

JimmyLiao(00:04:43): 他们这些公司要自己去开奶茶店。

严世威(00:04:47): 自己去开奶茶店，街边的自动咖啡，咖啡，机器人，

JimmyLiao(00:04:51): 对，但是它现在变成了一个亭子，但是里边是个机器人形机器人对。

严世威(00:04:51): 咖啡那种。机器人，这个状态是到最终的话是给谁看？首先。

JimmyLiao(00:05:07): 给运营后台的人给比如说给他们的给他们对！

严世威(00:05:09): 比如说机器人公司这边看的？这个好办吧。

JimmyLiao(00:05:16): 我可以给你现在。

严世威(00:05:19): 已经你们现在已经有的接口给我一下，

JimmyLiao(00:05:23): 我可以把文档给你。

严世威(00:05:24): 另外可能还是得调研一下，他这个事情是有涉及到。

严世威(00:05:30): 什么样的人，什么场景，什么权限，说只是简单展示一下？

JimmyLiao(00:05:34): 对目。

严世威(00:05:37): api 我感觉毫无难度。

JimmyLiao(00:05:40): 是肯定不是简单展示 API？

严世威(00:05:42): 对，他肯定是分的嘛，比如说它投放的机器人，这个亭子它是量多少，它是怎么划分类别的，它的处理工序里面像这么多的 api 的话是，有什么使用场景，出单类型，还有什么类型的会分发到，什么角色的运营人员。我觉得这种东西得了解清楚。

JimmyLiao(00:06:10): 因为我们那个群里边他信息保密了，我拉不出来给你对回回头下周吧，我一起整理给你吧，就是他现在提的这些其实都不能算是他只能把这个问题提了，这个是我们那个人形公司客户提的。

严世威(00:06:16): 他们聚生的方案用的是你们的。

JimmyLiao(00:06:29): 对他其实。对。除了人形本体不是我们的其他都是我们的。

JimmyLiao(00:06:46): 我们现在合作的另外一家也是这个状态，现在已经有三家在这样找我们了。

严世威(00:06:52): 做出来一个直接面向市场的解决方案，

JimmyLiao(00:06:55): 对。

严世威(00:06:58): 然后你们这边要提供的就包括运营的系统给他们是这种模式。

JimmyLiao(00:07:03): 对因为现在你知道吗？他们小程序都挂在我们这后台。

严世威(00:07:10): 小程序，

JimmyLiao(00:07:11): 所以小程序下单？

严世威(00:07:12): 东西还做小程序。客户用的也是你们来做，最最终最终的那个什么终端的消费者的做，

JimmyLiao(00:07:19): 是现在都是我们。

严世威(00:07:24): 用的东西也是你们做。

JimmyLiao(00:07:24): 对现在也是我们在做对，所以问题来这个问题就导致了现在的就是整个运营的话，我们现在是没有一个一个相当于一个比较完善的后台去管理的，而且这个里边可能还要考虑，比如说咖啡，奶茶它是不一样的？

严世威(00:07:27): 这样子吗。

JimmyLiao(00:07:45): 他们有做奶咖啡的，也有做奶茶的，他的整个业务流是不太一样的。

严世威(00:07:51): 你们有考虑把它做成一个通用的产品，不同的，不同的商品，

严世威(00:07:57): 它自己去配置流程。

JimmyLiao(00:07:59): 对我们是想这样子，要不然现在把我们工程师耗的有点吃不消了。

严世威(00:08:07): 就不要太过定制嘛，同类，

严世威(00:08:09): 同个模系的都能做以后？

JimmyLiao(00:08:10): 对现在他的编程现在是这个这一家提这个东西，那家提这东西搞得工程师天天这都他们又着急上线运营，然后这个就矛盾就来了。

JimmyLiao(00:08:25): 对所以我是想着说还是得找你去先前期我跟老板说的意思就是说，反正我现在要了两个月的窗口期，我现在要两个月窗口期，也就是说这两个月他们不会在市场上大规模的去推，可能会有几个试点，现在大概在深圳已经有三个地方。

严世威(00:08:35): 在哪。

JimmyLiao(00:08:45): 对现在是就在我们原来那个公司的旁边，长城那个 Kelly. 

严世威(00:08:52): 杭城这边，这福田南山有吗？

JimmyLiao(00:08:58): 莆田南山没有在我们楼下，现在有一个。

严世威(00:09:01): 那他们的有没有相似的竞品的公司，产品，我了解一下。

JimmyLiao(00:09:10): 我晚点找一个给你看看。

严世威(00:09:12): 我看深圳这边的公园，好说好，经常看到一个叫，我突然一下想不起来的公司。叫什么好像是关系户进入的？

JimmyLiao(00:09:26): 叫 cocofe 你搜我打给你！

严世威(00:09:32): 什么什么什么法，好像还是法什么？

JimmyLiao(00:09:38): 这家你知道不？

严世威(00:09:39): 是不是。是不是类似的东西？

JimmyLiao(00:09:43): 这其实是我们的机械臂，这一家是我们的，它里面的东西其实是我们的严正。

严世威(00:09:43): 烤鸭。

JimmyLiao(00:09:54): 对他，但是他自己去传承了一个咖啡厅。

严世威(00:09:57): 好像我，我叫我什么卡法好像。查房。

JimmyLiao(00:10:03): 不知道，反正就是反正现在已经有挺多这种的了。

JimmyLiao(00:10:09): 反正需求就是说我总得有一个运营后台，然后知道他现在的这些订单状态，包括什么退单，自己收支什么这些其实我们都知都可以，就技术上我们都能实现，只是现在就是我们没有一个，因为以前是这些大品牌带着我们做，所以我们没怎么管。那现在变成是我们自己要去做这个事就麻烦就来了，而且我们还没法直接把大品牌直接挪过来用，因为这个涉及到版权的问题。对我是不能直接，比如说我不我们虽然给茶百道做了，但是我不能把茶百道那套直接挪过来。

严世威(00:10:40): 行，没问题，没问题。软件这个东西很好规避的，

严世威(00:10:53): 我们应该给你想 N 种方案出来，跟它都不重合的。好好，这个卡法还不是竞争对手，我得找一下，我记得什么来着，莲花山公园上面有投放了机器人做咖啡的。

JimmyLiao(00:10:53): 是很好规避，对是，所以我第一时间想到找你去聊这个事儿，对你稍微看一下，反正就这个需求我下，反正我最近会把这些能做的东西就是有的资料我都可以导出来的，都给你。

严世威(00:11:22): 我去找找他是什么品牌？

JimmyLiao(00:11:22): 感谢多，本来就是现在这些已经有挺多的了，就是我们想的怎么样把这些变成一个标准化运营的模式就是。

JimmyLiao(00:11:34): 因为现在每一家人形公司，他自己手里都有几百套的订单。

严世威(00:11:39): 他们已经想不到什么场景了嘛，直接下场干 C 端了。

JimmyLiao(00:11:45): 对要不然他们这个他们自己的话说叫星辰大海的东西烧到猴年马月去！

严世威(00:11:52): 必须要早一点东西会不会写，早一点。

JimmyLiao(00:11:55): 对他们光有一家找我们，他们一光一年所谓的烧 AI 这块就烧训练两个亿。就没了两个亿，就是还不算人工，就是纯粹烧这个就是烧训练 AI 这块两个亿，我去，我说是你们这我当时听到我说那天来我们这跟。

严世威(00:12:15): 反正你你想两个亿，你你拿来建 infra 的话，这不算什么。

JimmyLiao(00:12:27): 是，但是他的说这两个亿可能到最后 CPU 没有。就是它落不了地！

严世威(00:12:36): 对，

严世威(00:12:37): 所以。所以他们竞争也很大，

JimmyLiao(00:12:38): 他说你烧完了以后，后面发现可能那技术变了以后，你原来那数据就废了。他说。

JimmyLiao(00:12:46): 不状态吗？他们现在那个状态这样。他说。

严世威(00:12:47): 得搞点。给他们卖点铲子，让他们直接去自己挖矿挖。

JimmyLiao(00:12:55): 是，所以现在他们就来找我们了嘛。

严世威(00:12:59): 行，没问题，没问题，接下来先做？我记得展厅那块什么也还有一点事情要做的。

JimmyLiao(00:13:08): 展厅优先级更高，对这个反正我就是告诉你，反正接下来有两个月的这个窗口期都在要做这个事，我同步也在挖一些同行的产品对。

严世威(00:13:10): 感觉有点尴尬，不行，整天我想。行。可以，那最好，那最好，我觉得同行的产品，我们不是去投资这样的项目的话，你很难要到别人的管理，后台是怎么运作的。

JimmyLiao(00:13:34): 才是最大的问题。

严世威(00:13:37): 对，你你你得你你得跟他们去谈，试用，是不是投放这机器，你才能看到这些东西。你光看表面的话，

严世威(00:13:47): 我只能说他的，他的消消费者，

JimmyLiao(00:13:50): 我只能截几个图我。

严世威(00:13:52): 消费者的这一端，还有你截几个，有没有之前这些客户的图偷过来研究，

JimmyLiao(00:13:58): 我对我只能这样了，对我也只能做到这一步了。

严世威(00:13:59): 只能这样对。对，我们还是要去揣测跟真实的客户去聊一下他的使用场景，他运营过程当中涉及很多角色分工，

JimmyLiao(00:14:11): 对我觉得这样的，我觉得可能你都不用去聊，因为人形公司没干过这个事。

严世威(00:14:15): 流程。

严世威(00:14:21): 那是。好好好。行，没问题，

JimmyLiao(00:14:21): 我觉得你就直接站在一个运营者的角度去看这个事情，然后就你就当做是一个连锁运营的老板。

严世威(00:14:33): 没问题，也能找到一些资料参考。

JimmyLiao(00:14:34): 你因为你是因为对，因为我之前尝试过跟他们沟通，这为什么这个事后面老板跟我聊了，然后为什么变成我们自己要跳，要主导这个事情就是这帮人形公司啥脑，这个你跟他们沟通不出来吗？他写不出来这些东西，包括他该给你那个文档，你看他们写这些东西，他直接甩到工程师那里，他让工程师搞你那工程师疯了，你知道吗？工程师看到这个东西就崩溃了。

JimmyLiao(00:15:02): 因为因为这个东西它没有逻辑性的话，你让工程师没法给你一个点的去写代码，我们虽然提供了一堆的 API，但是它不串的起来。

严世威(00:15:02): 行，没问题，没问题。行，

JimmyLiao(00:15:16): 核心问题在这里。

严世威(00:15:17): 没问题，如果是商城的逻辑，我还是很好找，很多的参考跟经验。

JimmyLiao(00:15:23): 是，所以我说我找你还是这个快一点，对我就说先搞一个出版，至少让他们运运营能够走起来，至少能卖钱，就是他至少能卖单，然后他至少因为他现在开始的量也不大嘛，他大概也就是几十个亭子，他也不是。

严世威(00:15:27): 没问题。等同于他想做这个事情，包括他后面运营的岗位，怎么样去分工，这些东西都要给他们一套方案，等于。

JimmyLiao(00:15:52): 是的。

严世威(00:15:56): 行，那行，没问题，然后聊回展厅的，我上次说希望你看一下仓库什么的，最好能够给我，因为现在看的只有那个视频。之内只有视频的话，我说的是最后一趴的部分，

严世威(00:16:13): 我不知道哪更紧急，第一趴的话，也是有一个大屏上面的东西要展示，

严世威(00:16:20): 具体展示什么内容，看什么时候定下来给到我。

JimmyLiao(00:16:21): 对。

JimmyLiao(00:16:25): 我其实已经做了我们展厅上周因为为了应付政府的接待，我已经放了一个东西上去了，对，然后我不行，我周一我把那几个视频导出来给你。

严世威(00:16:32): 行！

JimmyLiao(00:16:39): 过得晚一点。

严世威(00:16:40): 行，好的，

JimmyLiao(00:16:42): 对。

严世威(00:16:42): 然后我再看一下怎么做优化一下嘛。

JimmyLiao(00:16:45): 现在可能你就要考虑互动的事情就行了。

严世威(00:16:48): 对，我就想说联动现在是已经做了，没你做了，

JimmyLiao(00:16:53): 已经做了已经做了是！

严世威(00:16:55): 那我也看看现在是怎么联动。然后就先做左边第一块屏的东西嘛，因为第二个的话就是现成的 os，

JimmyLiao(00:17:04): 对对。

严世威(00:17:06): 第一块屏的话就看到，看一下你们现在的实际的最新的现状是怎么样的，

JimmyLiao(00:17:12): 对对，然后。

严世威(00:17:14): 我再来优化，最后一个的话，我先最最后一块的话，我希望是你们能不能够拉我到项目直接至少是前端的代码能让我跑起来，我基于上面去做优化。

JimmyLiao(00:17:28): 把空调开开可以，但是因为你在外部可能访问不到时候我看一下，让他们导出来给你吧，因为你你直接访问 git 是访问不了对。

严世威(00:17:32): 好好。对尝尝试。尝尝试搞一个环境给我们。

JimmyLiao(00:17:43): 行对说到这个事更好，有一个，反正我咱们聊到了，我就直接先跟你说有一个事，后面你得想的就是这个属于重要，但是没那么紧急，但是反正有好的创意就得想了，因为我们报了一个明年1月份美国的就是花了比较多的钱去赞助一个生化相关的展。

JimmyLiao(00:18:09): 对，然后我们之前不是去德国那个展的时候，效果不是很理想，当时不是还是找了，你不是也推荐那个李总那边不是说做展厅，什么那些就是我们发现这个理念上面还是有理解这个东西上面还是有偏差，我们现在想的是。

严世威(00:18:18): 对。

JimmyLiao(00:18:27): 我跟老板想的是说，因为这次的展位面积比德国小一半嘛，美国，但是我们也不想把德国那一套大设备拉过去了，因为运输成本包括现场调试，这个太工程量太大了，这个大设备。

严世威(00:18:32): 所以到时候做版式 demo 假的。

JimmyLiao(00:18:42): 可以做假的，但是我没想法，怎么把我等会儿给你一个，我们是。就是这个组织都会去，然后他们其实有几家就是我们在想用什么方式去表达这个就我一月份的展，其实就是他们家的。

JimmyLiao(00:19:10): 对你可以看，然后你可以拖到底下，你可以拖到最下面，你看到我们的 logo 已经在上面了，对我们已经是1级赞助商了，但是我们现在内容还没做好，所以还是得找你一起看看这个内容，你还记得上面的奥特曼吧。

严世威(00:19:16): 看到了。

严世威(00:19:26): 记得。

JimmyLiao(00:19:27): 对，然后你看他也在上面，然后他右边的那个跟我们也很像 baraiso 对，所以就是这两家你可以多看看他的这些展示内容，然后我们是在想现场怎么去跟人去讲这个，比如说 ai for science 的自动化怎么去做模块化组件，就是跟我们的，我们在做的事情你应该都比较熟了嘛，就是这一块怎么样在展台这个地方一个小面积里面去呈现出来用什么样式，因为我们当时在想，如果你堆一堆设备的这个客户在现场走来走去的，可能他也不见得能够看得到，而且你展示不全，你光是那个小设备在那里，他。

JimmyLiao(00:20:07): 觉得你这公司能力也就做个小东西，这种意思。

严世威(00:20:11): 其实你不，你不，你没有把大设备搬过去，你肯定就是搞一堆 kt 板，搞一堆屏幕，在那里每个 case 去讲嘛，

JimmyLiao(00:20:23): 是可以这样做，但是我是在想说做那种微缩模型沙盘之类的，还是说怎么样，就是反正形式上到时候再想吧，你先把咱们先把内容故事线这块先串一下。

JimmyLiao(00:20:36): 比如说。

严世威(00:20:37): 感觉有点难，

严世威(00:20:39): 我策展方面就是我还是比较欠缺，

JimmyLiao(00:20:41): 对我觉得就是因为是。

严世威(00:20:47): 我也没有看过很多其他的案例，主要是。

JimmyLiao(00:20:51): 反正就是感觉现在我们没想好就这一块，反正你有什么好的创意想到的也可以交流。

严世威(00:20:58): 行，我觉得去多找一下案例才能起爆，我现在没什么好的想法，这个东西它看得见摸得着，包括有模型实体，更容易让人驻足下来，看一下嘛，如果是纯屏幕，有一些人可能就略过去了。在有限的面积下，做一个比较吸睛的东西，把你们特别炫的展示出来，

严世威(00:21:32): 与相关的不相关的人，他都愿意来看一下。

JimmyLiao(00:21:36): 对基本情况就是，反正就是就这些需求吧。

严世威(00:21:37): 那你你们想好展示什么了吗？什么样的场景，目前你们因为他是，刚刚说什么生化方面的，

JimmyLiao(00:21:52): 对你看它就是实验室自动化。

严世威(00:21:53): 那对，你们现在拿你们官网医药的这些案例吗？

JimmyLiao(00:22:00): 不是我们会现在会有专门做一个回头会上线，对我们会我们新的网站上线以后会有一个专门的页面是这块的，对，到时候我会告诉你链接还没上线对。

严世威(00:22:03): 上画的。强化这一块的？行，我可能这件事之前我得先了解一下你们生化这块的具体的在做什么，怎么怎么展示。

JimmyLiao(00:22:22): 系没了。好好拜拜！

严世威(00:22:27): 那还有其他什么吗？行好的，那先这样，好好拜拜！
